amount,release_year,rental_rate,length,replacement_cost,NC_17,PG,PG_13,R_rated,extra_fees,trailers,deleted_scenes,behind_scenes,commentaries
2.99,2007,2.99,95,23.99,0,1,0,0,0,1,0,0,0
0.99,2006,0.99,86,9.99,0,0,1,0,0,1,0,0,0
5.99,2010,2.99,112,10.99,0,0,0,0,1,0,1,0,0
7.99,2005,2.99,71,21.99,0,0,1,0,1,1,0,0,0
6.99,2009,2.99,182,22.99,1,0,0,0,1,1,1,1,1
0.99,2010,0.99,50,13.99,0,0,1,0,0,0,0,1,0
4.99,2006,4.99,154,14.99,0,0,0,1,0,1,0,0,1
0.99,2006,0.99,181,21.99,0,0,0,1,0,1,0,1,0
0.99,2006,0.99,122,22.99,1,0,0,0,0,1,1,1,1
0.99,2009,0.99,108,28.99,0,0,0,1,0,0,1,1,1
6.99,2009,2.99,88,9.99,0,0,0,1,1,0,1,0,1
2.99,2007,2.99,156,23.99,0,0,0,0,0,1,1,1,1
2.99,2007,2.99,160,20.99,0,0,1,0,0,0,0,1,1
8.99,2008,2.99,91,11.99,0,0,1,0,1,1,0,0,0
7.99,2009,4.99,145,27.99,0,0,1,0,1,0,1,0,1
4.99,2006,4.99,64,14.99,0,0,1,0,0,0,1,0,1
2.99,2007,2.99,139,22.99,1,0,0,0,0,1,1,1,0
6.99,2010,2.99,107,26.99,1,0,0,0,1,1,1,0,1
3.99,2008,0.99,84,25.99,0,0,1,0,1,0,1,1,1
3.99,2010,2.99,112,10.99,0,0,0,0,1,0,1,0,0
7.99,2009,2.99,179,16.99,0,0,0,1,1,0,1,1,1
4.99,2010,0.99,70,16.99,1,0,0,0,1,0,1,1,0
7.99,2004,2.99,82,29.99,0,0,1,0,1,0,1,1,0
5.99,2005,2.99,85,21.99,0,0,0,1,1,1,0,0,0
3.99,2005,2.99,147,11.99,0,0,0,1,1,0,1,1,1
2.99,2009,2.99,135,17.99,0,1,0,0,0,1,0,0,1
2.99,2008,2.99,85,18.99,0,1,0,0,0,1,1,1,0
4.99,2007,2.99,47,22.99,0,1,0,0,1,1,0,0,0
4.99,2009,4.99,157,17.99,0,0,1,0,0,1,1,1,0
2.99,2009,2.99,88,9.99,0,0,0,1,0,0,1,0,1
9.99,2005,4.99,69,28.99,0,0,0,1,1,1,0,0,1
0.99,2010,0.99,85,11.99,0,1,0,0,0,0,1,1,1
4.99,2009,4.99,73,12.99,0,0,1,0,0,1,0,0,0
2.99,2005,0.99,84,20.99,0,0,1,0,1,1,0,0,0
2.99,2010,2.99,110,21.99,0,0,0,0,0,0,0,0,1
2.99,2004,2.99,124,16.99,0,0,0,1,0,0,0,1,0
2.99,2004,2.99,121,19.99,0,0,1,0,0,1,1,1,1
4.99,2006,4.99,185,14.99,0,0,0,0,0,0,1,0,0
2.99,2006,2.99,75,10.99,1,0,0,0,0,0,1,0,0
0.99,2007,0.99,103,24.99,0,0,0,0,0,1,0,0,0
0.99,2004,0.99,100,27.99,0,0,0,0,0,0,0,1,0
0.99,2004,0.99,91,13.99,0,0,0,1,0,1,1,1,1
6.99,2006,2.99,172,24.99,0,1,0,0,1,1,0,0,0
4.99,2009,4.99,178,26.99,0,0,1,0,0,1,1,1,0
4.99,2006,2.99,69,17.99,0,0,1,0,1,0,1,0,1
0.99,2007,0.99,137,21.99,0,1,0,0,0,1,1,0,0
2.99,2007,2.99,156,23.99,0,0,0,0,0,1,1,1,1
4.99,2008,4.99,53,17.99,0,1,0,0,0,0,0,1,1
3.99,2005,2.99,107,24.99,0,0,0,0,1,0,0,0,1
0.99,2004,0.99,92,20.99,1,0,0,0,0,1,0,0,0
4.99,2005,4.99,80,28.99,0,1,0,0,0,0,1,1,0
4.99,2007,4.99,51,13.99,1,0,0,0,0,0,0,1,1
4.99,2009,4.99,92,16.99,1,0,0,0,0,0,1,1,1
4.99,2010,4.99,77,23.99,1,0,0,0,0,1,0,0,0
3.99,2010,2.99,125,22.99,0,0,0,1,1,1,1,1,0
4.99,2010,4.99,183,13.99,1,0,0,0,0,0,0,1,1
5.99,2006,2.99,141,21.99,0,0,1,0,1,0,0,0,1
0.99,2007,0.99,176,26.99,0,0,0,0,0,0,0,0,1
4.99,2007,4.99,129,13.99,0,0,1,0,0,1,0,0,1
6.99,2010,2.99,46,10.99,1,0,0,0,1,1,0,1,1
0.99,2006,0.99,122,15.99,0,0,0,1,0,0,0,1,1
3.99,2007,0.99,60,27.99,0,1,0,0,1,0,0,1,0
8.99,2010,2.99,137,9.99,1,0,0,0,1,0,1,0,1
8.99,2005,4.99,184,24.99,1,0,0,0,1,1,1,1,0
0.99,2005,0.99,87,23.99,0,0,0,0,0,1,0,1,1
2.99,2004,2.99,84,29.99,1,0,0,0,0,1,0,0,0
0.99,2010,0.99,163,29.99,0,0,0,1,0,1,0,1,0
2.99,2006,2.99,100,11.99,0,0,0,0,0,1,1,0,0
9.99,2005,4.99,110,11.99,0,0,0,0,1,0,0,1,1
0.99,2004,0.99,61,12.99,0,1,0,0,0,1,1,1,1
